text,intent
영탁 콘서트 TAK SHOW, undefined
TAK SHOW, undefined
영탁 TAK SHOW 보여줘, play.video
영탁 TAK SHOW 틀어, play.video
영탁 TAK SHOW 틀어줘, play.video
영탁 TAK SHOW 찾아, search.video
영탁 TAK SHOW 찾아줘, search.video
영탁 TAK SHOW, undefined
세계 마음여행, undefined
영국 전원생활을 찾아서 보여줘, search.video
영국 전원생활을 찾아서 틀어, search.video
영국 전원생활을 찾아서 찾아, search.video
영국 전원생활을 찾아서 찾아줘, search.video
영국 전원생활을 찾아서, search.video
영국의 전원생활 틀어, play.video
영국의 전원생활 틀어줘, play.video
영국의 전원생활, undefined
동물 응급센터 찾아, search.video
동물 응급센터 찾아줘, search.video
동물 응급센터, undefined
야생동물 응급센터, undefined
여성가족부장관 인사청문회 찾아, search.video
여성가족부장관 인사청문회 찾아줘, search.video
여성가족부장관 인사청문회, undefined
중계방송 김행 찾아, search.video
중계방송 김행 찾아줘, search.video
중계방송 김행, undefined
중계방송 여성가족부장관 찾아, search.video
중계방송 여성가족부장관 찾아줘, search.video
중계방송 여성가족부장관, undefined
김행 여성가족부장관 후보자 보여줘, play.video
김행 여성가족부장관 후보자 찾아, search.video
김행 여성가족부장관 후보자 찾아줘, search.video
김행 여성가족부장관 후보자, undefined
김행 여성가족부장관 보여줘, play.video
김행 여성가족부장관 틀어, play.video
김행 여성가족부장관 틀어줘, play.video
김행 여성가족부장관 찾아, search.video
김행 여성가족부장관 찾아줘, search.video
김행 여성가족부장관, undefined
구미 사형 투표, undefined
김준빈의 기사식당, undefined
나솔사, undefined
다이노스톤 공룡수호대, undefined
무안지국, undefined
송골동굴, undefined
싱글로즈사, undefined
아구의 밥상, undefined
철인항, undefined
최아그 아이, undefined
퇴근노래방, undefined
투필로안전특공대, undefined
핫플동네 맛집, undefined
호텔 델리아, undefined
레이디바운스, undefined
창동 염광 교회 예배, undefined
유튜브 영도맛집, undefined
퐁생폼사, undefined
풍생 풍사, undefined
내가 받은 세계사, undefined
한누리 인연, undefined
자투라 스페이스 찾아, search.video
자투라 스페이스 찾아줘, search.video
자투라 스페이스, undefined
과몰입 세계사, undefined
과몰입 현대사, undefined
산넘은 패밀리, undefined
선농원패밀리, undefined
오라탕탕 패밀리, undefined
우당탕탕 훼미리, undefined
신상출시 펜스 레스토랑, undefined
이찬원 펀스토랑, undefined
천마산테마 연구소, undefined
천박사테사, undefined
퇴마사 천막사, undefined
아라문의공, undefined
아라문의길, undefined
요괴하는 날, undefined
유귀의하는 날, undefined
달콩티니핑, undefined
캐치티니핑사, undefined
홍대 곰티니핑, undefined
새콤달콤 DANNYPANG, undefined
새콤달콤 TMAP, undefined
새콤달콤 TRIPPING, undefined
새콤달콤 T맵핑, undefined
새콤달콤 새콤달콤 캐치티니핑, undefined
새콤달콤 캐치티니지, undefined
새콤달콤 캐치피, undefined
새콤달콤 캐치피피, undefined
새콤달콤캐치 22, undefined
콤달콤 티니핑, undefined
새콤달콤 24, undefined
18시 내고향, undefined
625 날, undefined
625 이날, undefined
6개나, undefined
6개의 달, undefined
6개 날, undefined
6 25일날, undefined
7 1의 탈출, undefined
7인의 87, undefined
7인의 달, undefined
7인의 탓, undefined
711 탈출, undefined
HIP 4개, undefined
파피 플레이타임, undefined
어서와 한국 살이 처음부터 틀어줘, rewind.video
2박 2일, undefined
달콤달콤 캐치 티니, undefined
김행 청문회 틀어, play.video
김행 청문회 틀어줘, play.video
김행 청문회, undefined
비해피 보여줘, play.video
비해피 틀어, play.video
비해피 틀어줘, play.video
비해피 찾아, search.video
비해피 찾아줘, search.video
비해피, undefined
백 년의 약속 틀어, play.video
백 년의 약속 틀어줘, play.video
백 년의 약속 찾아, search.video
백 년의 약속 찾아줘, search.video
백 년의 약속, undefined
프란다스 개, undefined
1976 고교 얄개, undefined
5 작도, undefined
5 작두, undefined
602 날, undefined
6개 은행, undefined
6개 있나, undefined
6개 하는 날, undefined
7인, undefined
화요일 밤이 좋아 28회, undefined
먹짓밟, undefined
먹질마, undefined
먹진마, undefined
덩치 SURVIVAL 먹지마, undefined
덩치 써바이벌 먹지마, undefined
덩치 서바이벌 묵찌빠, undefined
먹찌마, undefined
덩치 SURVIVAL 먹찌마, undefined
덩치 써바이벌 먹찌마, undefined
힘쎈여자 강남승, undefined
힘쎈여자 김남순, undefined
힘쎈여자 고남순, undefined
짱쎈여자 강남순, undefined
MANSUN 육아 왕, undefined
MANSUN YOU 가왕, undefined
랜선 U 가왕, undefined
랜선 YOU 가왕, undefined
랜선 휴가왕, undefined
RANSOME 육아 왕, undefined
랜선 유가 왕, undefined
랜선 육아원, undefined
랜선요가왕, undefined
서바이벌 먹찌빠, undefined
덩치 먹찌빠 틀어줘, play.video
덩치 먹찌빠 찾아줘, search.video
덩치 먹찌빠, undefined
강남순 찾아줘, search.video
힘쎈 강남순, undefined
힘쎈여자 틀어, play.video
힘쎈여자 틀어줘, play.video
힘쎈여자 찾아, search.video
힘쎈여자 찾아줘, search.video
육아왕, undefined
랜선육아, undefined
LIVE IN TOKYO 틀어, play.video
LIVE IN TOKYO 틀어줘, play.video
LIVE IN TOKYO, undefined
한글날 국악 보여줘, play.video
한글날 국악 틀어, play.video
한글날 국악 틀어줘, play.video
